last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest
5400000.0,59.0,2,2.87,4.0,31.5,2,0.0,0.0,0.0,6.6,0.0,20485.0,8180.0
13200000.0,109.0,4,3.15,5.0,72.0,2,0.0,0.0,0.0,12.2,0.0,42683.0,8643.0
7000000.0,74.5,3,2.58,10.0,49.0,9,0.0,0.0,0.0,10.8,0.0,14078.0,16670.0
3200000.0,37.4,1,2.5,9.0,20.0,4,0.0,0.0,0.0,6.2,2.0,17792.0,17699.0
6650000.0,64.9,3,2.65,12.0,41.9,11,0.0,0.0,0.0,10.4,0.0,14767.0,10573.0
4700000.0,63.2,3,2.6,9.0,44.0,2,0.0,0.0,0.0,7.2,1.0,20271.0,19273.0
8750000.0,65.0,2,2.65,17.0,32.0,3,0.0,0.0,0.0,11.0,1.0,35452.0,15458.0
7600000.0,72.0,3,2.5,10.0,42.0,5,0.0,0.0,0.0,8.0,1.0,10402.0,14768.0
3190000.0,33.8,1,2.5,9.0,19.0,8,0.0,0.0,0.0,7.1,0.0,45657.0,16608.0
5500000.0,51.2,2,2.9,4.0,31.5,2,0.0,0.0,0.0,7.8,0.0,14963.0,10770.0
7500000.0,74.7,2,3.2,4.0,42.0,3,0.0,0.0,0.0,9.5,0.0,15295.0,11102.0
3550000.0,46.0,2,2.7,5.0,32.0,3,0.0,0.0,0.0,7.3,0.0,24983.0,14879.0
12700000.0,92.0,4,3.2,5.0,65.0,2,0.0,0.0,0.0,13.0,0.0,23496.0,3037.0
19400000.0,117.7,3,3.0,8.0,62.6,5,0.0,0.0,0.0,21.3,0.0,39393.0,11096.0
3999000.0,34.1,1,2.7,25.0,14.47,12,0.0,0.0,0.0,10.4,0.0,18488.0,15945.0
4800000.0,55.0,2,2.7,12.0,32.0,2,0.0,0.0,0.0,10.2,0.0,21426.0,23138.0
4100000.0,45.0,2,2.5,5.0,30.0,4,0.0,0.0,0.0,7.1,1.0,15080.0,13621.0
7380000.0,86.0,4,3.25,7.0,53.0,6,0.0,0.0,0.0,12.5,0.0,23662.0,3795.0
5500000.0,59.0,2,2.7,23.0,33.0,12,0.0,0.0,0.0,11.5,2.0,21928.0,17256.0
54000000.0,300.0,6,3.0,5.0,170.0,5,0.0,0.0,0.0,20.0,0.0,24825.0,5509.0
2600000.0,29.4,1,2.5,5.0,15.2,1,0.0,0.0,0.0,7.2,0.0,42415.0,9700.0
4200000.0,45.5,2,2.6,5.0,31.0,1,0.0,0.0,0.0,6.0,0.0,42159.0,14663.0
7500000.0,75.5,3,3.56,5.0,50.5,3,0.0,0.0,0.0,9.0,1.0,21869.0,4087.0
4470000.0,44.5,2,2.5,5.0,28.0,1,0.0,0.0,0.0,6.0,0.0,9822.0,10869.0
13400000.0,90.0,3,2.7,13.0,54.0,12,0.0,0.0,0.0,16.0,0.0,29126.0,10790.0
5875000.0,63.3,2,3.0,3.0,39.0,1,0.0,0.0,0.0,8.3,0.0,25101.0,3948.0
4749000.0,42.0,1,2.65,16.0,19.0,15,0.0,0.0,0.0,10.0,0.0,10596.0,13971.0
4200000.0,42.41,2,2.5,9.0,28.15,4,0.0,0.0,0.0,7.19,0.0,12642.0,12440.0
4350000.0,38.4,1,2.6,16.0,20.1,12,0.0,0.0,0.0,10.3,2.0,10010.0,13271.0
23000000.0,150.0,6,3.0,5.0,99.0,2,0.0,0.0,0.0,18.0,0.0,22149.0,3959.0
13400000.0,90.0,3,3.0,5.0,54.0,4,0.0,0.0,0.0,12.0,2.0,24331.0,2879.0
8500000.0,80.0,3,2.84,4.0,55.0,4,0.0,0.0,0.0,15.0,0.0,20954.0,675.0
6772762.0,56.4,1,2.7,11.0,20.4,8,0.0,0.0,0.0,15.3,0.0,23609.0,5299.0
7800000.0,82.0,3,3.0,5.0,56.0,4,0.0,0.0,0.0,9.0,0.0,26758.0,5605.0
3900000.0,36.4,1,2.7,12.0,19.5,4,0.0,0.0,0.0,7.0,2.0,33736.0,14037.0
4550000.0,55.0,2,2.57,9.0,31.5,7,0.0,0.0,0.0,8.0,0.0,33152.0,11112.0
8300000.0,90.3,3,3.07,9.0,53.4,9,0.0,0.0,0.0,15.9,2.0,30672.0,11542.0
5750000.0,43.2,1,2.67,16.0,18.0,6,0.0,0.0,0.0,10.8,1.0,14800.0,11490.0
4575000.0,59.0,3,2.5,9.0,42.0,1,0.0,0.0,0.0,6.4,2.0,50322.0,15264.0
5490000.0,56.0,2,2.9,5.0,33.0,5,0.0,0.0,0.0,8.3,1.0,13869.0,8872.0
6450000.0,56.0,1,3.0,12.0,27.0,6,0.0,0.0,0.0,14.0,2.0,16285.0,6303.0
4800000.0,49.0,2,2.55,12.0,28.0,3,0.0,0.0,0.0,8.0,0.0,48722.0,16183.0
3490000.0,42.45,2,2.51,8.0,28.31,7,0.0,0.0,0.0,8.0,0.0,19420.0,15580.0
5700000.0,69.3,3,2.65,12.0,42.0,1,0.0,0.0,0.0,11.0,0.0,36223.0,16525.0
3100000.0,35.5,1,2.7,10.0,15.8,5,0.0,0.0,0.0,8.3,2.0,12881.0,12103.0
5950000.0,90.0,3,2.6,12.0,46.7,12,0.0,0.0,0.0,7.0,0.0,50050.0,13292.0
5150000.0,58.7,3,2.5,9.0,36.4,5,0.0,0.0,0.0,5.4,1.0,16949.0,12995.0
5500000.0,67.0,3,2.5,9.0,48.0,4,0.0,0.0,0.0,6.3,0.0,49574.0,16461.0
5900000.0,60.1,3,2.6,5.0,39.3,5,0.0,0.0,0.0,6.4,0.0,43446.0,13627.0
289238400.0,187.5,2,3.37,6.0,63.7,6,0.0,0.0,0.0,30.2,0.0,22494.0,1073.0
14100000.0,109.2,4,3.27,6.0,69.3,4,0.0,0.0,0.0,18.3,1.0,25830.0,4624.0
3030000.0,33.4,1,2.65,9.0,17.6,9,0.0,0.0,0.0,8.5,1.0,33134.0,14298.0
4700000.0,61.3,2,2.75,18.0,26.0,6,0.0,0.0,0.0,13.8,1.0,41924.0,21240.0
4300000.0,33.0,1,2.6,19.0,16.0,8,0.0,0.0,0.0,8.0,2.0,33695.0,14794.0
7500000.0,55.0,2,3.2,5.0,34.0,5,0.0,0.0,0.0,8.0,0.0,27236.0,4579.0
4500000.0,66.1,3,2.6,9.0,43.4,3,0.0,0.0,0.0,6.3,0.0,48984.0,16823.0
3850000.0,35.4,1,2.65,12.0,13.8,4,0.0,0.0,0.0,7.5,2.0,9569.0,11687.0
3400000.0,57.0,2,2.8,3.0,36.0,1,0.0,0.0,0.0,10.0,0.0,27908.0,6755.0
3990000.0,36.8,1,2.8,14.0,17.9,14,0.0,0.0,0.0,9.7,0.0,41570.0,11703.0
4600000.0,45.8,2,2.6,9.0,30.2,1,0.0,0.0,0.0,7.7,0.0,10333.0,12688.0
14990000.0,160.0,5,3.56,6.0,100.0,2,0.0,0.0,0.0,22.0,0.0,24086.0,4653.0
3750000.0,49.0,4,2.5,5.0,37.1,5,0.0,0.0,0.0,5.3,0.0,11900.0,12386.0
5300000.0,57.0,2,2.5,9.0,29.9,5,0.0,0.0,0.0,8.0,0.0,47677.0,16136.0
3790000.0,37.0,1,2.5,9.0,20.0,7,0.0,0.0,0.0,7.0,2.0,51029.0,15041.0
9950000.0,61.2,2,3.17,7.0,39.7,2,0.0,0.0,0.0,8.0,0.0,9740.0,10123.0
9690000.0,98.0,4,3.0,5.0,71.9,5,0.0,0.0,0.0,9.0,0.0,38809.0,8069.0
3500000.0,28.8,1,2.65,9.0,16.0,2,0.0,0.0,0.0,6.1,0.0,36294.0,10652.0
8700000.0,71.0,2,3.0,25.0,33.0,19,0.0,0.0,0.0,14.2,2.0,51468.0,15925.0
6700000.0,62.0,2,2.6,14.0,35.0,10,0.0,0.0,0.0,10.0,1.0,28858.0,11813.0
14500000.0,85.0,2,3.1,20.0,23.3,7,0.0,0.0,0.0,39.0,0.0,10015.0,10263.0
4885000.0,62.0,2,2.75,18.0,28.0,12,0.0,0.0,0.0,13.0,2.0,42298.0,21614.0
13500000.0,104.0,3,2.7,15.0,80.0,3,0.0,0.0,0.0,18.0,0.0,12378.0,14969.0
11000000.0,80.0,3,2.9,3.0,54.4,3,0.0,0.0,0.0,8.5,0.0,22407.0,5194.0
6799000.0,50.9,1,2.85,9.0,19.7,4,0.0,0.0,0.0,12.2,1.0,21635.0,6027.0
9480000.0,88.8,3,2.79,17.0,51.2,4,0.0,0.0,0.0,13.4,2.0,33272.0,12990.0
3500000.0,30.64,1,2.5,5.0,17.4,4,0.0,0.0,0.0,5.61,1.0,42829.0,8577.0
7700000.0,45.0,1,3.0,9.0,22.0,2,0.0,0.0,0.0,10.0,0.0,32079.0,5038.0
5800000.0,69.6,3,2.65,12.0,43.9,12,0.0,0.0,0.0,8.1,5.0,32564.0,11638.0
5400000.0,76.8,3,2.5,5.0,44.6,1,0.0,0.0,0.0,14.9,0.0,18118.0,21280.0
4250000.0,36.0,1,2.75,6.0,17.1,4,0.0,0.0,0.0,9.0,0.0,18625.0,17628.0
15000000.0,76.0,3,3.0,4.0,55.2,4,0.0,0.0,0.0,8.8,0.0,25934.0,6501.0
15300000.0,97.0,3,3.5,7.0,61.4,2,0.0,0.0,0.0,9.5,0.0,17863.0,1463.0
17900000.0,201.9,6,3.87,6.0,134.8,3,0.0,0.0,0.0,16.2,0.0,23915.0,3747.0
4300000.0,43.1,2,3.0,4.0,28.5,3,0.0,0.0,0.0,6.1,0.0,21540.0,3659.0
7200000.0,69.75,3,3.4,4.0,43.3,4,0.0,0.0,0.0,9.4,0.0,23486.0,3027.0
4750000.0,37.0,1,2.8,18.0,19.0,5,0.0,0.0,0.0,10.0,0.0,12960.0,12342.0
